event_id,sport,home_team,away_team,venue_canonical,venue_city,venue_state,event_date,venue_lat,venue_lon
nfl_401772772,nfl,Tampa Bay Buccaneers,New England Patriots,Raymond James Stadium,Tampa,FL,2025-11-09T18:00Z,27.9759,-82.5033
nfl_401772807,nfl,Cleveland Browns,Pittsburgh Steelers,Huntington Bank Field,Cleveland,OH,2025-12-28T18:00Z,41.5061,-81.6995
nfl_401772891,nfl,Detroit Lions,Green Bay Packers,Ford Field,Detroit,MI,2025-11-27T18:00Z,42.34,-83.0456
nfl_401772923,nfl,Kansas City Chiefs,Detroit Lions,Arrowhead Stadium,Kansas City,MO,2025-10-13T00:20Z,39.0489,-94.4839
nba_401811054,nba,LA Clippers,Golden State Warriors,Intuit Dome,Inglewood,CA,2026-04-13T00:30Z,33.9425,-118.3411
nba_401810369,nba,New Orleans Pelicans,Los Angeles Lakers,Smoothie King Center,New Orleans,LA,2026-01-07T01:00Z,29.949,-90.0821
nba_401811026,nba,Charlotte Hornets,Detroit Pistons,Spectrum Center,Charlotte,NC,2026-04-10T23:00Z,35.2251,-80.8392
nba_401810052,nba,Sacramento Kings,Minnesota Timberwolves,Golden 1 Center,Sacramento,CA,2025-11-10T02:00Z,38.5802,-121.4997
nba_401810787,nba,Brooklyn Nets,Memphis Grizzlies,Barclays Center,Brooklyn,NY,2026-03-09T23:30Z,40.6826,-73.9754
nba_401810159,nba,Philadelphia 76ers,Atlanta Hawks,Xfinity Mobile Arena,Philadelphia,PA,2025-11-30T23:00Z,39.9012,-75.172
nba_401810773,nba,Memphis Grizzlies,LA Clippers,FedExForum,Memphis,TN,2026-03-08T01:00Z,35.1382,-90.0505
nba_401810297,nba,Oklahoma City Thunder,Philadelphia 76ers,Paycom Center,Oklahoma City,OK,2025-12-28T20:30Z,35.4634,-97.5151
nfl_401772747,nfl,Arizona Cardinals,Tennessee Titans,State Farm Stadium,Glendale,AZ,2025-10-05T20:05Z,33.5276,-112.2626
nfl_401772814,nfl,Jacksonville Jaguars,Kansas City Chiefs,EverBank Stadium,Jacksonville,FL,2025-10-07T00:15Z,30.3239,-81.6373
nba_401812486,nba,Denver Nuggets,Minnesota Timberwolves,Pechanga Arena,San Diego,CA,2025-10-05T01:00Z,32.7573,-117.2197
nba_401810677,nba,Washington Wizards,Charlotte Hornets,Capital One Arena,Washington,DC,2026-02-22T23:00Z,38.8981,-77.0209
