listing_id,candidate_event_id,label,split,embedding_cosine_sim
L000024,nfl_401772813,0,train,0.5937067
L000024,nfl_401772938,0,train,0.6622059
L000024,nfl_401772845,0,train,0.62254214
L000024,nfl_401772741,0,train,0.5908021
L000025,nfl_401772848,1,train,0.9228872
L000025,nfl_401772737,0,train,0.6743157
L000025,nfl_401772738,0,train,0.59686077
L000025,nfl_401772847,0,train,0.643804
L000025,nfl_401772742,0,train,0.669182
L000025,nfl_401772849,0,train,0.68482786
L000025,nfl_401772921,0,train,0.71839046
L000025,nfl_401772739,0,train,0.68959033
L000025,nfl_401772813,0,train,0.66876817
L000025,nfl_401772938,0,train,0.6234753
L000025,nfl_401772845,0,train,0.70733863
L000025,nfl_401772741,0,train,0.6568041
L000026,nfl_401772848,1,train,0.9662157
L000026,nfl_401772737,0,train,0.70455885
L000026,nfl_401772738,0,train,0.5934704
L000026,nfl_401772847,0,train,0.65511924
L000026,nfl_401772742,0,train,0.71142685
L000026,nfl_401772849,0,train,0.7096677
L000026,nfl_401772921,0,train,0.73015976
L000026,nfl_401772739,0,train,0.7004764
L000026,nfl_401772813,0,train,0.6764817
L000026,nfl_401772938,0,train,0.68172395
L000026,nfl_401772845,0,train,0.68282914
L000026,nfl_401772741,0,train,0.6691334
L000027,nfl_401772848,1,train,0.7852628
L000027,nfl_401772843,0,train,0.7692578
L000027,nfl_401772907,0,train,0.7606351
L000027,nfl_401772935,0,train,0.7668288
L000027,nfl_401772961,0,train,0.77624273
L000027,nfl_401772924,0,train,0.7468568
L000027,nfl_401772820,0,train,0.76683116
L000027,nfl_401772879,0,train,0.7802198
L000027,nfl_401772828,0,train,0.59200084
L000027,nfl_401772857,0,train,0.6255796
L000027,nfl_401772793,0,train,0.56150794
L000027,nfl_401772725,0,train,0.5406135
L000027,nfl_401772770,0,train,0.58855104
L000027,nfl_401772915,0,train,0.5508835
L000027,nfl_401772783,0,train,0.59234464
L000027,nfl_401772797,0,train,0.5846457
L000027,nfl_401772775,0,train,0.6145982
L000027,nfl_401772873,0,train,0.5799881
L000027,nfl_401772635,0,train,0.61123216
L000027,nfl_401772885,0,train,0.65083563
L000028,nfl_401772911,1,train,0.9436237
L000028,nba_401810271,0,train,0.61739695
L000028,nba_401810237,0,train,0.56285655
L000028,nba_401810227,0,train,0.48814744
L000028,nfl_401772804,0,train,0.6258236
L000028,nba_401810255,0,train,0.58759654
L000028,nba_401810240,0,train,0.5666436
L000028,nba_401810276,0,train,0.44662166
L000028,nba_401810230,0,train,0.39797014
L000028,nba_401810259,0,train,0.42150846
L000028,nba_401810267,0,train,0.4284527
L000028,nba_401810244,0,train,0.33700705
L000028,nba_401810249,0,train,0.47492158
L000028,nba_401810235,0,train,0.48553598
L000028,nfl_401772612,0,train,0.6265823
L000028,nfl_401772803,0,train,0.5855187
L000028,nfl_401772910,0,train,0.6288934
L000028,nfl_401772914,0,train,0.5828738
L000028,nfl_401772824,0,train,0.6432713
L000028,nfl_401772912,0,train,0.51838464
L000029,nfl_401772911,1,train,0.39315826
L000029,nba_401810255,0,train,0.39832535
L000029,nba_401810240,0,train,0.34599805
L000029,nba_401810271,0,train,0.42924735
L000029,nba_401810228,0,train,0.45652705
L000029,nba_401810236,0,train,0.35093868
L000029,nba_401810269,0,train,0.4018284
L000030,nfl_401772911,1,train,0.8176094
L000030,nfl_401772940,0,train,0.6745208
L000030,nfl_401772905,0,train,0.6940843
L000030,nfl_401772963,0,train,0.70084524
L000030,nfl_401772920,0,train,0.646824
L000030,nfl_401772883,0,train,0.71270543
L000030,nfl_401772737,0,train,0.6759633
L000030,nfl_401772767,0,train,0.6750741
L000030,nfl_401772744,0,train,0.58657825
L000030,nfl_401772821,0,train,0.6021154
L000030,nfl_401772834,0,train,0.6224111
L000030,nfl_401772950,0,train,0.553527
L000030,nfl_401772808,0,train,0.58716714
L000030,nfl_401772875,0,train,0.62739414
L000030,nfl_401772757,0,train,0.543751
L000030,nfl_401772867,0,train,0.5926007
L000030,nfl_401772721,0,train,0.5724113
L000030,nfl_401772727,0,train,0.63090175
L000030,nfl_401772893,0,train,0.54994357
L000030,nfl_401772769,0,train,0.56045
L000031,nfl_401772911,1,train,0.80388385
L000031,nfl_401772744,0,train,0.63537425
L000031,nfl_401772821,0,train,0.666735
L000031,nfl_401772875,0,train,0.70139015
L000031,nfl_401772757,0,train,0.6234845
L000031,nfl_401772940,0,train,0.6616391
L000031,nfl_401772834,0,train,0.69301474
L000031,nfl_401772905,0,train,0.66490847
L000031,nfl_401772963,0,train,0.68093824
L000031,nfl_401772867,0,train,0.64974606
L000031,nfl_401772950,0,train,0.60752475
L000031,nfl_401772920,0,train,0.63501894
L000031,nfl_401772883,0,train,0.7026064
L000031,nfl_401772737,0,train,0.6681005
L000031,nfl_401772767,0,train,0.66144603
L000031,nba_401810030,0,train,0.62064976
L000031,nba_401810271,0,train,0.6414634
L000031,nfl_401772751,0,train,0.5746113
L000031,nba_401810431,0,train,0.52140474
L000031,nba_401810520,0,train,0.5440883
L000032,nba_401810384,1,train,0.92113805
L000032,nba_401810401,0,train,0.8418565
L000032,nba_401810368,0,train,0.69201314
L000032,nba_401810408,0,train,0.68353033
L000032,nba_401810372,0,train,0.7593741
L000032,nba_401810398,0,train,0.69097096
L000032,nba_401810381,0,train,0.7043528
L000032,nba_401810386,0,train,0.6721576
L000032,nba_401810403,0,train,0.6092979
L000032,nba_401810395,0,train,0.6280961
L000032,nba_401810406,0,train,0.6025663
L000032,nba_401810385,0,train,0.6243864
L000032,nba_401810390,0,train,0.59146726
L000032,nba_401810376,0,train,0.6131102
L000032,nba_401810411,0,train,0.691875
L000032,nba_401810361,0,train,0.5359201
L000032,nba_401810382,0,train,0.62292284
L000032,nba_401810388,0,train,0.64654076
L000032,nba_401810364,0,train,0.5528276
L000032,nba_401810380,0,train,0.50313497
L000033,nba_401810384,1,train,0.57973576
L000033,nba_401809793,0,train,0.58118844
L000033,nba_401850920,0,train,0.58274066
L000033,nba_401810691,0,train,0.56217325
L000033,nba_401810344,0,train,0.5682583
L000033,nba_401810282,0,train,0.5691803
L000033,nba_401810022,0,train,0.5746007
L000033,nba_401810307,0,train,0.5568044
L000033,nba_401810725,0,train,0.57285726
L000033,nba_401812708,0,train,0.5754588
L000033,nba_401810292,0,train,0.584913
L000033,nba_401810547,0,train,0.55396026
L000033,nba_401810560,0,train,0.54894984
L000033,nba_401810469,0,train,0.57280964
L000033,nba_401810897,0,train,0.5211903
L000033,nba_401812692,0,train,0.561239
L000033,nba_401810222,0,train,0.57494116
L000033,nba_401809987,0,train,0.54407656
L000033,nba_401810866,0,train,0.56458706
L000033,nba_401809970,0,train,0.566232
L000034,nba_401810384,1,train,0.8700551
L000034,nba_401810401,0,train,0.77783006
L000034,nba_401810368,0,train,0.6470977
L000034,nba_401810408,0,train,0.6442225
L000034,nba_401810372,0,train,0.7104479
L000034,nba_401810398,0,train,0.6572748
L000034,nba_401810381,0,train,0.6423116
